locid	date time	lat	lon	truevalue	yxyang@mit.edu	garthee@mit.edu	saclarke@mit.edu
0	5/8/12 7:00	42.343365	-71.057114	8	4	3	3
1	5/8/12 7:00	42.344254	-71.02861	0	-1	-1	0
2	5/8/12 7:00	42.350315	-71.064461	109	31	38	29
3	5/8/12 7:00	42.300732	-71.114105	21	5	3	2
4	5/8/12 7:00	42.366261	-71.062103	59	7	-2	-3
5	5/8/12 7:00	42.366631	-71.016518	38	-1	-4	9
6	5/8/12 7:00	42.351818	-71.055138	61	8	-5	-1
7	5/8/12 7:00	42.360039	-71.056213	22	-3	2	-2
8	5/8/12 7:00	42.358086	-71.127762	0	0	0	0
9	5/8/12 7:00	42.350483	-71.06559	100	28	30	24
10	5/8/12 7:00	42.346043	-71.040916	3	-7	-2	-4
11	5/8/12 7:00	42.351776	-71.040306	0	-2	-2	-1
12	5/8/12 7:00	42.359219	-71.04924	20	-1	-8	-15
13	5/8/12 7:00	42.355457	-71.060493	33	5	9	2
14	5/8/12 7:00	42.347263	-71.073502	17	6	6	7
15	5/8/12 7:00	42.357574	-71.056396	32	-2	-3	-7
16	5/8/12 7:00	42.345394	-71.051659	1	-2	-3	-3
17	5/8/12 7:00	42.329704	-71.083717	0	0	0	0
18	5/8/12 7:00	42.347534	-71.075111	66	15	10	18
19	5/8/12 7:00	42.35154	-71.065109	88	7	18	24
20	5/8/12 7:00	42.3592	-71.059608	54	0	4	-2
21	5/8/12 7:00	42.354008	-71.062569	61	23	14	19
22	5/8/12 7:00	42.348522	-71.036064	0	-1	-1	-1
23	5/8/12 7:00	42.350712	-71.064713	108	23	36	28
24	5/8/12 7:00	42.351658	-71.049767	4	-1	-1	-2
25	5/8/12 7:00	42.349987	-71.066193	86	16	18	20
26	5/8/12 7:00	42.359726	-71.053635	31	2	5	3
27	5/8/12 7:00	42.346439	-71.097244	25	2	4	4
28	5/8/12 7:00	42.346577	-71.04493	50	28	24	8
29	5/8/12 7:00	42.315872	-71.065567	0	0	0	0
30	5/8/12 7:00	42.347626	-71.084206	97	19	17	27
31	5/8/12 7:00	42.365353	-71.055511	9	5	5	5
32	5/8/12 7:00	42.342808	-71.08567	14	1	1	-2
33	5/8/12 7:00	42.353764	-71.04525	0	0	-1	0
34	5/8/12 7:00	42.352856	-71.042946	0	0	0	0
35	5/10/12 9:00	42.351776	-71.040306	1	0	-1	-1
36	5/14/12 16:00	42.343365	-71.057114	7	2	0	1
37	5/14/12 16:00	42.344254	-71.02861	1	-3	0	0
38	5/14/12 16:00	42.350315	-71.064461	95	48	57	50
39	5/14/12 16:00	42.300732	-71.114105	18	0	-1	-8
40	5/14/12 16:00	42.366261	-71.062103	43	17	14	10
41	5/14/12 16:00	42.366631	-71.016518	53	8	3	4
42	5/14/12 16:00	42.351818	-71.055138	152	15	13	15
43	5/14/12 16:00	42.360039	-71.056213	92	28	26	15
44	5/14/12 16:00	42.358086	-71.127762	0	0	0	0
45	5/14/12 16:00	42.350483	-71.06559	100	58	63	56
46	5/14/12 16:00	42.346043	-71.040916	3	-1	1	-2
47	5/14/12 16:00	42.351776	-71.040306	1	-1	-1	-2
48	5/14/12 16:00	42.359219	-71.04924	11	-6	2	-5
49	5/14/12 16:00	42.355457	-71.060493	34	1	2	-2
50	5/14/12 16:00	42.347263	-71.073502	11	3	2	0
51	5/14/12 16:00	42.357574	-71.056396	139	42	32	27
52	5/14/12 16:00	42.345394	-71.051659	3	-1	-2	-1
53	5/14/12 16:00	42.329704	-71.083717	0	0	0	0
